__time,/RMSE/data,/RMSE/data.0,/RMSE/data.1,/RMSE/layout/data_offset
1669055470.599087,,0.038325,0.061658,0.000000
1669055470.799109,,0.042501,0.061333,0.000000
1669055470.999062,,0.042336,0.061420,0.000000
1669055471.199056,,0.048430,0.060197,0.000000
1669055471.399079,,0.048430,0.060197,0.000000
1669055471.599010,,0.048430,0.060197,0.000000
1669055471.799000,,0.052814,0.061830,0.000000
1669055471.999004,,0.052814,0.061830,0.000000
1669055472.199067,,0.052814,0.061830,0.000000
1669055472.399074,,0.052814,0.061830,0.000000
1669055472.599245,,0.052814,0.061830,0.000000
1669055472.799326,,0.055405,0.063041,0.000000
1669055472.999287,,0.055405,0.063041,0.000000
1669055473.199099,,0.055405,0.063041,0.000000
1669055473.399121,,0.057890,0.062810,0.000000
1669055473.599046,,0.057890,0.062810,0.000000
1669055473.799085,,0.063752,0.060630,0.000000
1669055473.999080,,0.066638,0.060381,0.000000
1669055474.199087,,0.065915,0.061646,0.000000
1669055474.399099,,0.065915,0.061646,0.000000
1669055474.599037,,0.065915,0.061646,0.000000
1669055474.798969,,0.072738,0.062689,0.000000
1669055474.999013,,0.073686,0.061090,0.000000
1669055475.199052,,0.073686,0.061090,0.000000
1669055475.399030,,0.075171,0.061280,0.000000
1669055475.599069,,0.075171,0.061280,0.000000
1669055475.799142,,0.075171,0.061280,0.000000
1669055475.999009,,0.075171,0.061280,0.000000
1669055476.199053,,0.075171,0.061280,0.000000
1669055476.399056,,0.081115,0.060005,0.000000
1669055476.599352,,0.081115,0.060005,0.000000
1669055476.799200,,0.089266,0.062339,0.000000
1669055476.999188,,0.087773,0.060838,0.000000
1669055477.199157,,0.087773,0.060838,0.000000
1669055477.399327,,0.088028,0.060562,0.000000
1669055477.599030,,0.090029,0.059267,0.000000
1669055477.798993,,0.091601,0.059296,0.000000
1669055477.999028,,0.091601,0.059296,0.000000
1669055478.199018,,0.091980,0.059227,0.000000
1669055478.399072,,0.092308,0.059255,0.000000
1669055478.599021,,0.092308,0.059255,0.000000
1669055478.799016,,0.096038,0.058805,0.000000
1669055478.999080,,0.094926,0.058413,0.000000
1669055479.199041,,0.097365,0.058158,0.000000
1669055479.399028,,0.097681,0.058621,0.000000
1669055479.599037,,0.099829,0.058120,0.000000
1669055479.799090,,0.100640,0.058461,0.000000
1669055479.999037,,0.102570,0.058438,0.000000
1669055480.199074,,0.102934,0.058052,0.000000
1669055480.399106,,0.104646,0.058663,0.000000
1669055480.599126,,0.108663,0.060232,0.000000
1669055480.799120,,0.107786,0.060732,0.000000
1669055480.999067,,0.105100,0.059796,0.000000
1669055481.199064,,0.107060,0.059061,0.000000
1669055481.399084,,0.109241,0.058914,0.000000
1669055481.599090,,0.108125,0.058646,0.000000
1669055481.799016,,0.108934,0.058619,0.000000
1669055481.999056,,0.108934,0.058619,0.000000
1669055482.199075,,0.108934,0.058619,0.000000
1669055482.399079,,0.112914,0.057874,0.000000
1669055482.599046,,0.122594,0.059233,0.000000
1669055482.799085,,0.122594,0.059233,0.000000
1669055482.999039,,0.122594,0.059233,0.000000
1669055483.199028,,0.115154,0.061084,0.000000
1669055483.398967,,0.115154,0.061084,0.000000
1669055483.599062,,0.115154,0.061084,0.000000
1669055483.799035,,0.115154,0.061084,0.000000
1669055483.999048,,0.121424,0.063163,0.000000
1669055484.199081,,0.121424,0.063163,0.000000
1669055484.399071,,0.121424,0.063163,0.000000
1669055484.599279,,0.121424,0.063163,0.000000
1669055484.799211,,0.121424,0.063163,0.000000
1669055484.999166,,0.121675,0.065347,0.000000
1669055485.199054,,0.121675,0.065347,0.000000
1669055485.399064,,0.123670,0.064794,0.000000
1669055485.599057,,0.127570,0.064873,0.000000
1669055485.799038,,0.127570,0.064873,0.000000
1669055485.999077,,0.127570,0.064873,0.000000
1669055486.199035,,0.126553,0.064342,0.000000
1669055486.399002,,0.127633,0.064788,0.000000
1669055486.598991,,0.126581,0.064570,0.000000
1669055486.798988,,0.126581,0.064570,0.000000
1669055486.999032,,0.126581,0.064570,0.000000
1669055487.199059,,0.126581,0.064570,0.000000
1669055487.399002,,0.126591,0.064357,0.000000
1669055487.599064,,0.126591,0.064357,0.000000
1669055487.799013,,0.124936,0.064427,0.000000
1669055487.999057,,0.124936,0.064427,0.000000
1669055488.199047,,0.124936,0.064427,0.000000
1669055488.399308,,0.124936,0.064427,0.000000
1669055488.599310,,0.126270,0.000000,0.000000
1669055488.799277,,0.126270,0.000000,0.000000
1669055488.999378,,0.126270,0.000000,0.000000
1669055489.199125,,0.126270,0.000000,0.000000
1669055489.399247,,0.126270,0.000000,0.000000
1669055489.599048,,0.126270,0.000000,0.000000
1669055489.799008,,0.126270,0.000000,0.000000
1669055489.999077,,0.126270,0.000000,0.000000
1669055490.199027,,0.128809,0.062708,0.000000
1669055490.399019,,0.128809,0.062708,0.000000
1669055490.599017,,0.128809,0.062708,0.000000
1669055490.799067,,0.128809,0.062708,0.000000
1669055490.999055,,0.128809,0.062708,0.000000
1669055491.199016,,0.129519,0.064499,0.000000
1669055491.399067,,0.128066,0.065760,0.000000
1669055491.599075,,0.128066,0.065760,0.000000
1669055491.799084,,0.128066,0.065760,0.000000
1669055491.999099,,0.123968,0.068997,0.000000
1669055492.199084,,0.127981,0.067026,0.000000
1669055492.399073,,0.127894,0.066927,0.000000
1669055492.599078,,0.128723,0.069432,0.000000
1669055492.799265,,0.127264,0.072464,0.000000
1669055492.999263,,0.124659,0.071821,0.000000
1669055493.199293,,0.127296,0.072906,0.000000
1669055493.399220,,0.126382,0.073274,0.000000
1669055493.599103,,0.125014,0.073161,0.000000
1669055493.799058,,0.125074,0.073192,0.000000
1669055493.999032,,0.125074,0.073192,0.000000
1669055494.199076,,0.125074,0.073192,0.000000
1669055494.399035,,0.125074,0.073192,0.000000
1669055494.599004,,0.125074,0.073192,0.000000
1669055494.799024,,0.125074,0.073192,0.000000
1669055494.999103,,0.120908,0.073372,0.000000
1669055495.199080,,0.120908,0.073372,0.000000
1669055495.399072,,0.120908,0.073372,0.000000
1669055495.599022,,0.117253,0.075323,0.000000
1669055495.799004,,0.119939,0.074624,0.000000
1669055495.999048,,0.117230,0.075881,0.000000
1669055496.199054,,0.117230,0.075881,0.000000
1669055496.399093,,0.117230,0.075881,0.000000
1669055496.599086,,0.116503,0.075351,0.000000
1669055496.799030,,0.116503,0.075351,0.000000
1669055496.998998,,0.116503,0.075351,0.000000
1669055497.199281,,0.116503,0.075351,0.000000
1669055497.399259,,0.116503,0.075351,0.000000
1669055497.599266,,0.116503,0.075351,0.000000
1669055497.799340,,0.113190,0.075198,0.000000
1669055497.999207,,0.113190,0.075198,0.000000
1669055498.199174,,0.113190,0.075198,0.000000
1669055498.399095,,0.112061,0.075095,0.000000
1669055498.599068,,0.112061,0.075095,0.000000
1669055498.799016,,0.106866,0.076575,0.000000
1669055498.999049,,0.102398,0.075433,0.000000
1669055499.199123,,0.102398,0.075433,0.000000
1669055499.399039,,0.095519,0.074652,0.000000
1669055499.599086,,0.095519,0.074652,0.000000
1669055499.799028,,0.096402,0.073550,0.000000
1669055499.999000,,0.096402,0.073550,0.000000
1669055500.199088,,0.099842,0.072790,0.000000
1669055500.399074,,0.093374,0.071658,0.000000
1669055500.599145,,0.093374,0.071658,0.000000
1669055500.799050,,0.093374,0.071658,0.000000
1669055500.999040,,0.091610,0.071605,0.000000
1669055501.199292,,0.089523,0.071677,0.000000
1669055501.399318,,0.091916,0.071405,0.000000
1669055501.599327,,0.090075,0.071437,0.000000
1669055501.799163,,0.087363,0.072692,0.000000
1669055501.999160,,0.082881,0.072295,0.000000
1669055502.199053,,0.086379,0.071914,0.000000
1669055502.399019,,0.082441,0.072411,0.000000
1669055502.599062,,0.082441,0.072411,0.000000
1669055502.799033,,0.078657,0.072227,0.000000
1669055502.999101,,0.078931,0.071995,0.000000
1669055503.199057,,0.075800,0.072787,0.000000
1669055503.399022,,0.076508,0.072453,0.000000
1669055503.599133,,0.072895,0.073501,0.000000
1669055503.799170,,0.074196,0.074086,0.000000
1669055503.999053,,0.074196,0.074086,0.000000
1669055504.199091,,0.074196,0.074086,0.000000
1669055504.399111,,0.074196,0.074086,0.000000
1669055504.599252,,0.074196,0.074086,0.000000
1669055504.799059,,0.074196,0.074086,0.000000
1669055504.999166,,0.074196,0.074086,0.000000
1669055505.199171,,0.074196,0.074086,0.000000
1669055505.399323,,0.074196,0.074086,0.000000
1669055505.599285,,0.074196,0.074086,0.000000
1669055505.799316,,0.074196,0.074086,0.000000
1669055505.999243,,0.074196,0.074086,0.000000
1669055506.199071,,0.054687,0.069794,0.000000
1669055506.399016,,0.054687,0.069794,0.000000
1669055506.599021,,0.054687,0.069794,0.000000
1669055506.799098,,0.049302,0.070781,0.000000
1669055506.999048,,0.049302,0.070781,0.000000
1669055507.199003,,0.049302,0.070781,0.000000
1669055507.399027,,0.045475,0.068159,0.000000
1669055507.599055,,0.044945,0.068110,0.000000
1669055507.799071,,0.039440,0.068436,0.000000
1669055507.999003,,0.039440,0.068436,0.000000
1669055508.199101,,0.039440,0.068436,0.000000
1669055508.399057,,0.040036,0.068080,0.000000
1669055508.599076,,0.040036,0.068080,0.000000
1669055508.799063,,0.040036,0.068080,0.000000
1669055508.999072,,0.040036,0.068080,0.000000
1669055509.199045,,0.041367,0.069999,0.000000
1669055509.399396,,0.041367,0.069999,0.000000
1669055509.599258,,0.039177,0.070334,0.000000
1669055509.799114,,0.039177,0.070334,0.000000
1669055509.999110,,0.039177,0.070334,0.000000
1669055510.199096,,0.035396,0.070660,0.000000
1669055510.399030,,0.035396,0.070660,0.000000
1669055510.599102,,0.035396,0.070660,0.000000
1669055510.799015,,0.031946,0.071276,0.000000
1669055510.999086,,0.030300,0.071684,0.000000
1669055511.199002,,0.029370,0.071711,0.000000
1669055511.399004,,0.029370,0.071711,0.000000
1669055511.599023,,0.029370,0.071711,0.000000
1669055511.799079,,0.029370,0.071711,0.000000
1669055511.999117,,0.029370,0.071711,0.000000
1669055512.198995,,0.029370,0.071711,0.000000
1669055512.399061,,0.031643,0.070599,0.000000
1669055512.599088,,0.031997,0.072332,0.000000
1669055512.799090,,0.031346,0.072467,0.000000
1669055512.999098,,0.033576,0.072588,0.000000
1669055513.199288,,0.036490,0.072076,0.000000
1669055513.399345,,0.038447,0.073639,0.000000
1669055513.599249,,0.035579,0.072718,0.000000
1669055513.799148,,0.034728,0.072798,0.000000
1669055513.999037,,0.037455,0.072747,0.000000
1669055514.199012,,0.037455,0.072747,0.000000
1669055514.399029,,0.040697,0.073045,0.000000
1669055514.598996,,0.042944,0.072700,0.000000
1669055514.799068,,0.039689,0.072917,0.000000
1669055514.999060,,0.042253,0.072575,0.000000
1669055515.199094,,0.040839,0.072820,0.000000
1669055515.399118,,0.040839,0.072820,0.000000
1669055515.599155,,0.045891,0.072586,0.000000
1669055515.799069,,0.049795,0.072566,0.000000
1669055515.998980,,0.049795,0.072566,0.000000
1669055516.199054,,0.052522,0.072664,0.000000
1669055516.399061,,0.051685,0.072402,0.000000
1669055516.599095,,0.051685,0.072402,0.000000
1669055516.798985,,0.052638,0.073467,0.000000
1669055516.999258,,0.058311,0.073525,0.000000
1669055517.199273,,0.058311,0.073525,0.000000
1669055517.399311,,0.058311,0.073525,0.000000
1669055517.599207,,0.058311,0.073525,0.000000
1669055517.799081,,0.058311,0.073525,0.000000
1669055517.999046,,0.062355,0.073673,0.000000
1669055518.199059,,0.062355,0.073673,0.000000
1669055518.399047,,0.062355,0.073673,0.000000
1669055518.598990,,0.062355,0.073673,0.000000
1669055518.799044,,0.068131,0.074220,0.000000
1669055518.999009,,0.068131,0.074220,0.000000
1669055519.198997,,0.068131,0.074220,0.000000
1669055519.399045,,0.068131,0.074220,0.000000
1669055519.599022,,0.068131,0.074220,0.000000
1669055519.798978,,0.074771,0.072948,0.000000
1669055519.999100,,0.079686,0.072710,0.000000
1669055520.199094,,0.079686,0.072710,0.000000
1669055520.399089,,0.079686,0.072710,0.000000
1669055520.599040,,0.083198,0.072604,0.000000
1669055520.799113,,0.083198,0.072604,0.000000
1669055520.999105,,0.084588,0.072552,0.000000
1669055521.199138,,0.084588,0.072552,0.000000
1669055521.399258,,0.087520,0.072369,0.000000
1669055521.599305,,0.087520,0.072369,0.000000
1669055521.799153,,0.090337,0.073396,0.000000
1669055521.999012,,0.090337,0.073396,0.000000
1669055522.199019,,0.092078,0.073322,0.000000
1669055522.399037,,0.094632,0.072661,0.000000
1669055522.599014,,0.094632,0.072661,0.000000
1669055522.799052,,0.094632,0.072661,0.000000
1669055522.999003,,0.095547,0.073642,0.000000
1669055523.199035,,0.095547,0.073642,0.000000
1669055523.399019,,0.095547,0.073642,0.000000
1669055523.599032,,0.098437,0.072904,0.000000
1669055523.799107,,0.102070,0.072746,0.000000
1669055523.999056,,0.101045,0.073255,0.000000
1669055524.199056,,0.104614,0.072285,0.000000
1669055524.399002,,0.104614,0.072285,0.000000
1669055524.599149,,0.104614,0.072285,0.000000
1669055524.799075,,0.106308,0.072174,0.000000
1669055524.999274,,0.107758,0.071948,0.000000
1669055525.199372,,0.108388,0.072479,0.000000
1669055525.399257,,0.105728,0.071414,0.000000
1669055525.599079,,0.107963,0.070749,0.000000
1669055525.799062,,0.109891,0.070663,0.000000
1669055525.999042,,0.109668,0.070627,0.000000
1669055526.199102,,0.109979,0.069275,0.000000
1669055526.399269,,0.112471,0.069445,0.000000
1669055526.599011,,0.113671,0.070935,0.000000
1669055526.799042,,0.114375,0.071171,0.000000
1669055526.999080,,0.116406,0.071246,0.000000
1669055527.199054,,0.116406,0.071246,0.000000
1669055527.399055,,0.118487,0.071226,0.000000
1669055527.599041,,0.118487,0.071226,0.000000
1669055527.799017,,0.118487,0.071226,0.000000
1669055527.999045,,0.119007,0.071093,0.000000
1669055528.199001,,0.124434,0.071379,0.000000
1669055528.399034,,0.119456,0.073093,0.000000
1669055528.599113,,0.119456,0.073093,0.000000
1669055528.799062,,0.119456,0.073093,0.000000
1669055528.999251,,0.119456,0.073093,0.000000
1669055529.199313,,0.116891,0.072916,0.000000
1669055529.399134,,0.123868,0.074248,0.000000
1669055529.599141,,0.123868,0.074248,0.000000
1669055529.799096,,0.127525,0.074791,0.000000
1669055529.999022,,0.127525,0.074791,0.000000
1669055530.199033,,0.127655,0.074981,0.000000
1669055530.399018,,0.127620,0.075313,0.000000
1669055530.599055,,0.128617,0.075846,0.000000
1669055530.799042,,0.128617,0.075846,0.000000
1669055530.999010,,0.128617,0.075846,0.000000
1669055531.199029,,0.128617,0.075846,0.000000
1669055531.399055,,0.128617,0.075846,0.000000
1669055531.599021,,0.129880,0.076542,0.000000
1669055531.798984,,0.129880,0.076542,0.000000
1669055531.999040,,0.131930,0.076647,0.000000
1669055532.199111,,0.131930,0.076647,0.000000
1669055532.399056,,0.136532,0.077231,0.000000
1669055532.599068,,0.134441,0.077968,0.000000
1669055532.799058,,0.134441,0.077968,0.000000
1669055532.999262,,0.132282,0.078213,0.000000
1669055533.199193,,0.132152,0.000000,0.000000
1669055533.399290,,0.134384,0.000000,0.000000
1669055533.599020,,0.135347,0.000000,0.000000
1669055533.799112,,0.135313,0.077165,0.000000
1669055533.999002,,0.134387,0.077256,0.000000
1669055534.199021,,0.134387,0.077256,0.000000
1669055534.399001,,0.136347,0.076773,0.000000
1669055534.599047,,0.136347,0.076773,0.000000
1669055534.798986,,0.136347,0.076773,0.000000
1669055534.999024,,0.136347,0.076773,0.000000
1669055535.199015,,0.135201,0.079899,0.000000
1669055535.399038,,0.135201,0.079899,0.000000
1669055535.599033,,0.135716,0.079897,0.000000
1669055535.799073,,0.132161,0.079849,0.000000
1669055535.999034,,0.133824,0.078994,0.000000
1669055536.199068,,0.133824,0.078994,0.000000
1669055536.399060,,0.133992,0.079020,0.000000
1669055536.599308,,0.132433,0.079273,0.000000
1669055536.799264,,0.132433,0.079273,0.000000
1669055536.999309,,0.132433,0.079273,0.000000
1669055537.199106,,0.133261,0.080220,0.000000
1669055537.399082,,0.130260,0.079616,0.000000
1669055537.599033,,0.130260,0.079616,0.000000
1669055537.799056,,0.129293,0.079918,0.000000
1669055537.999057,,0.129293,0.079918,0.000000
1669055538.199016,,0.129697,0.079700,0.000000
1669055538.399047,,0.130726,0.079596,0.000000
1669055538.599020,,0.131101,0.080614,0.000000
1669055538.799052,,0.129268,0.081134,0.000000
1669055538.999037,,0.126825,0.081357,0.000000
1669055539.199044,,0.125982,0.081196,0.000000
1669055539.398982,,0.126724,0.081006,0.000000
1669055539.599085,,0.126724,0.081006,0.000000
1669055539.799072,,0.126724,0.081006,0.000000
1669055539.998980,,0.123447,0.081619,0.000000
1669055540.199097,,0.123447,0.081619,0.000000
1669055540.399089,,0.123447,0.081619,0.000000
1669055540.599048,,0.121005,0.081836,0.000000
1669055540.799008,,0.121005,0.081836,0.000000
1669055540.999246,,0.121947,0.081290,0.000000
1669055541.199188,,0.119229,0.081980,0.000000
1669055541.399172,,0.119229,0.081980,0.000000
1669055541.599087,,0.119229,0.081980,0.000000
1669055541.799031,,0.119229,0.081980,0.000000
1669055541.999031,,0.115473,0.082120,0.000000
1669055542.199069,,0.115473,0.082120,0.000000
1669055542.399016,,0.115473,0.082120,0.000000
1669055542.599046,,0.120243,0.083366,0.000000
1669055542.799039,,0.114156,0.085573,0.000000
1669055542.999106,,0.116294,0.084742,0.000000
1669055543.199019,,0.116294,0.084742,0.000000
1669055543.399051,,0.111506,0.084730,0.000000
1669055543.599066,,0.109565,0.084434,0.000000
1669055543.798986,,0.109565,0.084434,0.000000
1669055543.999049,,0.109565,0.084434,0.000000
1669055544.199080,,0.109565,0.084434,0.000000
1669055544.399100,,0.104501,0.084241,0.000000
1669055544.599331,,0.104501,0.084241,0.000000
1669055544.799269,,0.104501,0.084241,0.000000
1669055544.999280,,0.099469,0.084177,0.000000
1669055545.199140,,0.101916,0.084150,0.000000
1669055545.399102,,0.096164,0.085079,0.000000
1669055545.599099,,0.097329,0.084839,0.000000
1669055545.799034,,0.097329,0.084839,0.000000
1669055545.999099,,0.097403,0.084699,0.000000
1669055546.199142,,0.098689,0.085104,0.000000
1669055546.399081,,0.095386,0.087207,0.000000
1669055546.599116,,0.095386,0.087207,0.000000
1669055546.799028,,0.092260,0.088459,0.000000
1669055546.999047,,0.092260,0.088459,0.000000
1669055547.199036,,0.087156,0.088470,0.000000
1669055547.399046,,0.087156,0.088470,0.000000
1669055547.599081,,0.085085,0.088280,0.000000
1669055547.799812,,0.085184,0.088992,0.000000
1669055547.999010,,0.084010,0.088924,0.000000
1669055548.199754,,0.083006,0.088790,0.000000
1669055548.399051,,0.083006,0.088790,0.000000
1669055548.599054,,0.079873,0.089343,0.000000
1669055548.799058,,0.076856,0.089041,0.000000
1669055548.999163,,0.074135,0.089238,0.000000
1669055549.199323,,0.074135,0.089238,0.000000
1669055549.399340,,0.074135,0.089238,0.000000
1669055549.599208,,0.074135,0.089238,0.000000
1669055549.799062,,0.074135,0.089238,0.000000
1669055549.999013,,0.066885,0.087280,0.000000
1669055550.199131,,0.066127,0.087272,0.000000
1669055550.399018,,0.065155,0.087262,0.000000
1669055550.598997,,0.065488,0.087329,0.000000
1669055550.799001,,0.064013,0.087255,0.000000
1669055550.999027,,0.064013,0.087255,0.000000
1669055551.199015,,0.064013,0.087255,0.000000
1669055551.399125,,0.059365,0.085957,0.000000
1669055551.599059,,0.059365,0.085957,0.000000
1669055551.799138,,0.058211,0.086216,0.000000
1669055551.998984,,0.057669,0.086066,0.000000
1669055552.199090,,0.051845,0.085324,0.000000
1669055552.399063,,0.051845,0.085324,0.000000
1669055552.599047,,0.054254,0.085647,0.000000
1669055552.799011,,0.052558,0.085795,0.000000
1669055552.999033,,0.052558,0.085795,0.000000
1669055553.199090,,0.052558,0.085795,0.000000
1669055553.399328,,0.052558,0.085795,0.000000
1669055553.599284,,0.052558,0.085795,0.000000
1669055553.799082,,0.049782,0.085758,0.000000
1669055553.999058,,0.049782,0.085758,0.000000
1669055554.199031,,0.046029,0.085917,0.000000
1669055554.399069,,0.046029,0.085917,0.000000
1669055554.599020,,0.041956,0.086391,0.000000
1669055554.799016,,0.042596,0.086367,0.000000
1669055554.999004,,0.042596,0.086367,0.000000
1669055555.199024,,0.042596,0.086367,0.000000
1669055555.398990,,0.043371,0.086493,0.000000
1669055555.599132,,0.038094,0.087144,0.000000
1669055555.798972,,0.038094,0.087144,0.000000
1669055555.999061,,0.038094,0.087144,0.000000
1669055556.199070,,0.038142,0.086475,0.000000
1669055556.399260,,0.038142,0.086475,0.000000
1669055556.599104,,0.038868,0.086408,0.000000
1669055556.799017,,0.038868,0.086408,0.000000
1669055556.999275,,0.038019,0.086932,0.000000
1669055557.199309,,0.038019,0.086932,0.000000
1669055557.399301,,0.037957,0.084335,0.000000
1669055557.599255,,0.039863,0.084482,0.000000
1669055557.799156,,0.038975,0.086325,0.000000
1669055557.999020,,0.040709,0.087477,0.000000
1669055558.199063,,0.040709,0.087477,0.000000
1669055558.399051,,0.040971,0.087572,0.000000
1669055558.599015,,0.040857,0.087456,0.000000
1669055558.798972,,0.042936,0.087616,0.000000
1669055558.999001,,0.046266,0.087753,0.000000
1669055559.199030,,0.046266,0.087753,0.000000
1669055559.399064,,0.046266,0.087753,0.000000
1669055559.599008,,0.052297,0.089803,0.000000
1669055559.799165,,0.052297,0.089803,0.000000
1669055559.999084,,0.052297,0.089803,0.000000
1669055560.199035,,0.049297,0.091071,0.000000
1669055560.399016,,0.050820,0.090868,0.000000
1669055560.599151,,0.050820,0.090868,0.000000
1669055560.799042,,0.058184,0.090322,0.000000
1669055560.999101,,0.059341,0.090380,0.000000
1669055561.199235,,0.059341,0.090380,0.000000
1669055561.399359,,0.059341,0.090380,0.000000
1669055561.599043,,0.061576,0.090388,0.000000
1669055561.799063,,0.064614,0.090469,0.000000
1669055561.999100,,0.065336,0.090643,0.000000
1669055562.199076,,0.065336,0.090643,0.000000
1669055562.399026,,0.067194,0.090509,0.000000
1669055562.599005,,0.071455,0.092075,0.000000
1669055562.799124,,0.068204,0.092676,0.000000
1669055562.999073,,0.068204,0.092676,0.000000
1669055563.199043,,0.068204,0.092676,0.000000
1669055563.399106,,0.068204,0.092676,0.000000
1669055563.599014,,0.068204,0.092676,0.000000
1669055563.799056,,0.068204,0.092676,0.000000
1669055563.999070,,0.068204,0.092676,0.000000
1669055564.199111,,0.077069,0.091905,0.000000
1669055564.399082,,0.077069,0.091905,0.000000
1669055564.599112,,0.081661,0.090904,0.000000
1669055564.799075,,0.086491,0.091053,0.000000
1669055564.999046,,0.086491,0.091053,0.000000
1669055565.199092,,0.087725,0.091054,0.000000
1669055565.399025,,0.088727,0.090991,0.000000
1669055565.599097,,0.088727,0.090991,0.000000
1669055565.799292,,0.088727,0.090991,0.000000
1669055565.999471,,0.093927,0.091567,0.000000
1669055566.199273,,0.094438,0.091928,0.000000
1669055566.399053,,0.096194,0.091568,0.000000
1669055566.599113,,0.096194,0.091568,0.000000
1669055566.799079,,0.097606,0.091596,0.000000
1669055566.999005,,0.098431,0.091772,0.000000
1669055567.199043,,0.100425,0.091457,0.000000
1669055567.398999,,0.102302,0.091430,0.000000
1669055567.599013,,0.102302,0.091430,0.000000
1669055567.799024,,0.102302,0.091430,0.000000
1669055567.999044,,0.105428,0.091796,0.000000
1669055568.199090,,0.105434,0.092127,0.000000
1669055568.398992,,0.105434,0.092127,0.000000
1669055568.599200,,0.108218,0.091897,0.000000
1669055568.799036,,0.111109,0.091962,0.000000
1669055568.999052,,0.110784,0.092367,0.000000
1669055569.199068,,0.112409,0.091930,0.000000
1669055569.399386,,0.112558,0.092649,0.000000
1669055569.599384,,0.114610,0.092882,0.000000
1669055569.799342,,0.116168,0.093382,0.000000
1669055569.999059,,0.112090,0.093408,0.000000
1669055570.199074,,0.117178,0.093559,0.000000
1669055570.399074,,0.118175,0.093846,0.000000
1669055570.599022,,0.124705,0.093648,0.000000
1669055570.798997,,0.122108,0.093996,0.000000
1669055570.999056,,0.127696,0.096566,0.000000
1669055571.199112,,0.127145,0.096801,0.000000
1669055571.399056,,0.123825,0.097673,0.000000
1669055571.599047,,0.128821,0.098133,0.000000
